GENE;L-O-1;L-O-2;L-O-3;D-O-1;D-O-2;D-O-3;D-A-4;D-A-5;D-A-2
16S-rRNA;175678;91515;407642;7379;46445;35568;3604;5536;5040
23S-rRNA;171050;70513;354126;8386;20398;9576;6674;13646;6271
5S_rRNA-1;25;4;41;72;13;9;86;123;46
5S_rRNA-2;18;6;46;86;11;12;134;192;54
cds1;72;9;165;242;84;83;280;683;240
cds10;153;28;446;622;203;136;784;2118;671
cds100;402;49;1183;1583;397;396;1798;4499;1550
cds1000-DUF541-domain-containing-protein;384;45;1065;1491;377;346;1594;4000;1231
cds1001-DUF3307-domain-containing-protein;186;32;411;624;89;165;550;1026;598
cds1002-cyclic-nucleotide-binding-domain-containing-protein;399;121;974;1047;227;173;1160;2236;783
cds1003-biosynthetic-arginine-decarboxylase;1833;322;4141;3980;1036;975;4388;11669;3489
cds1004-nucleoside-diphosphate-kinase;336;63;787;1196;219;243;1149;2521;904
cds1005-hypothetical-protein;357;40;1066;1455;402;353;1849;4172;1136
cds1006-adenylate/guanylate-cyclase-domain-containing-protein;541;40;1810;3019;684;720;3256;7520;2560
cds1007;142;5;331;478;98;135;469;1107;460
cds1008-FAD-dependent-oxidoreductase;486;41;1333;2068;464;408;1912;4933;1539
cds1009-Asp-tRNA(Asn)/Glu-tRNA(Gln)-amidotransferase-subunit-GatB;1407;334;2125;2861;531;501;3237;6247;1886
cds101;214;29;425;482;174;140;533;1056;452
cds1010-hypothetical-protein;374;44;375;549;102;99;416;1093;260
cds1011-hypothetical-protein;231;29;910;1385;228;234;1404;3398;888
cds1012-hypothetical-protein;476;116;1122;1640;261;338;1617;3125;1021
cds1013-dephospho-CoA-kinase;652;48;1483;2694;500;525;2425;5772;2261
cds1014;280;18;717;926;286;269;1020;2617;1001
cds1015;245;22;538;973;164;224;676;1694;883
cds1016;1364;527;3133;1965;925;925;3333;7805;1869
cds1017-hypothetical-protein;370;155;658;642;74;119;423;1249;346
cds1018-AarF/ABC1/UbiB-kinase-family-protein;726;138;1842;3357;591;626;3233;7320;2393
cds1019;181;19;433;901;151;120;856;1759;611
cds1020;189;22;295;347;66;72;299;524;252
cds1021-NAD-binding-site:FAD-dependent-pyridine-nucleotide-disulphide;424;46;1404;2190;480;469;2301;4879;2133
cds1022;1020;189;2204;2144;534;451;2648;5917;1590
cds1023-phosphopyruvate-hydratase;1428;446;2710;3248;609;584;2814;6236;2290
cds1024-lactoylglutathione-lyase;427;128;815;794;126;146;639;1262;659
cds1025;594;85;1790;2678;580;682;2728;6841;2553
cds1026;1326;301;3096;3076;780;860;2733;5819;2863
cds1027;626;161;1347;609;250;202;1069;1939;711
cds1028-transcription-termination/antitermination-protein-NusG;674;253;1641;1534;327;324;1253;3860;1156
cds1029-50S-ribosomal-protein-L11;2587;980;4013;1253;569;413;2121;4439;1213
cds102-sulfurtransferase;189;34;416;525;118;122;578;1393;517
